ISRAEL | Israel | 101620260
AUSTRALIA | Australia | 101452733
UNITED_STATES | United States | 103644278
ARGENTINA | Argentina | 100446943
ALGERIA | Algeria | 106395874
ATLANTA_METROPOLITAN_AREA | Atlanta Metropolitan Area | 90000052
AUSTRIA | Austria | 103883259
SOUTH_AFRICA | South Africa | 104035573
NEW_YORK_CITY_METROPOLITAN_AREA | New York City Metropolitan Area | 90000070
ARIZONA_UNITED_STATES | Arizona, United States | 106032500
ANDHRA_PRADESH_INDIA | Andhra Pradesh, India | 106227689
AMSTERDAM_AREA | Amsterdam Area | 90010383
LOS_ANGELES_METROPOLITAN_AREA | Los Angeles Metropolitan Area | 90000049
AUVERGNE_RHONE_ALPES_FRANCE | Auvergne-Rh�ne-Alpes, France | 103623254
SAUDI_ARABIA | Saudi Arabia | 100459316
GREATER_DELHI_AREA | Greater Delhi Area | 90009626
GREATER_SAO_PAULO_AREA | Greater S�o Paulo Area | 90009574
ALBERTA_CANADA | Alberta, Canada | 103564821
AUSTIN_TEXAS_METROPOLITAN_AREA | Austin, Texas Metropolitan Area | 90000064
GERMANY | Germany | 101282230
ANDALUSIA_SPAIN | Andalusia, Spain | 106151489
QUEBEC_CANADA | Quebec, Canada | 102237789
QUEENSLAND_AUSTRALIA | Queensland, Australia | 103466979
QATAR | Qatar | 104170880
QUEZON_CITY_NATIONAL_CAPITAL_REGION_PHILIPPINES | Quezon City, National Capital Region, Philippines | 106806189
QUITO_METROPOLITAN_AREA | Quito Metropolitan Area | 90010367
QUERETARO_METROPOLITAN_AREA | Queretaro Metropolitan Area | 90010050
QINGDAO_SHANDONG_CHINA | Qingdao, Shandong, China | 104332104
QUERETARO_MEXICO | Quer�taro, Mexico | 106106375
KENYA | Kenya | 100710459
QUITO_PICHINCHA_ECUADOR | Quito, Pichincha, Ecuador | 104011438
QUEENS_NEW_YORK_UNITED_STATES | Queens, New York, United States | 106282048
QUAD_CITIES_METROPOLITAN_AREA | Quad Cities Metropolitan Area | 90000196
QUERETARO_QUERETARO_MEXICO | Quer�taro, Quer�taro, Mexico | 103909344
QUANZHOU_FUJIAN_CHINA | Quanzhou, Fujian, China | 107399795
QUINTANA_ROO_MEXICO | Quintana Roo, Mexico | 104644684
KERALA_INDIA | Kerala, India | 105167843
QUEBEC_QUEBEC_CANADA | Qu�bec, Quebec, Canada | 103148075
BRISBANE_QUEENSLAND_AUSTRALIA | Brisbane, Queensland, Australia | 104468365
MONTREAL_QUEBEC_CANADA | Montreal, Quebec, Canada | 101728226
GREATER_BRISBANE_AREA | Greater Brisbane Area | 90009518
WASHINGTON_DC_BALTIMORE_AREA | Washington DC-Baltimore Area | 90000097
UNITED_KINGDOM | United Kingdom | 101165590
WEST_BENGAL_INDIA | West Bengal, India | 106652067
WASHINGTON_UNITED_STATES | Washington, United States | 103977389
WEST_JAVA_INDONESIA | West Java, Indonesia | 102877321
ITALY | Italy | 103350119
WISCONSIN_UNITED_STATES | Wisconsin, United States | 104454774
WARSAW_METROPOLITAN_AREA | Warsaw Metropolitan Area | 90009828
WESTERN_CAPE_SOUTH_AFRICA | Western Cape, South Africa | 106499088
WESTERN_AUSTRALIA_AUSTRALIA | Western Australia, Australia | 103716157
DALLAS_FORT_WORTH_METROPLEX | Dallas-Fort Worth Metroplex | 90000031
WARSAW_MAZOWIECKIE_POLAND | Warsaw, Mazowieckie, Poland | 105076658
WALES_UNITED_KINGDOM | Wales, United Kingdom | 105912292
WUHAN_HUBEI_CHINA | Wuhan, Hubei, China | 100417443
WASHINGTON_DISTRICT_OF_COLUMBIA_UNITED_STATES | Washington, District of Columbia, United States | 104383890
WALLOON_REGION_BELGIUM | Walloon Region, Belgium | 101644197
NEW_SOUTH_WALES_AUSTRALIA | New South Wales, Australia | 103313686
MUMBAI_METROPOLITAN_REGION | Mumbai Metropolitan Region | 90009639
VIETNAM | Vietnam | 104195383
GREATER_LOS_ANGELES_CALIFORNIA_UNITED_STATES | Greater Los Angeles, California, United States | 100657539
ENGLAND_UNITED_KINGDOM | England, United Kingdom | 102299470
EGYPT | Egypt | 106155005
ECUADOR | Ecuador | 106373116
INDONESIA | Indonesia | 102478259
SPAIN | Spain | 105646813
EAST_JAVA_INDONESIA | East Java, Indonesia | 105539135
UNITED_ARAB_EMIRATES | United Arab Emirates | 104305776
TURKEY | Turkey | 102105699
ETHIOPIA | Ethiopia | 100212432
EL_SALVADOR | El Salvador | 106522560
LONDON_ENGLAND_UNITED_KINGDOM | London, England, United Kingdom | 102257491
EMILIA_ROMAGNA_ITALY | Emilia-Romagna, Italy | 101165094
RUSSIA | Russia | 101728296
ESPIRITO_SANTO_BRAZIL | Esp�rito Santo, Brazil | 105964469
LONDON_AREA_UNITED_KINGDOM | London Area, United Kingdom | 90009496
ROMANIA | Romania | 106670623
RIO_DE_JANEIRO_BRAZIL | Rio de Janeiro, Brazil | 103658898
RAJASTHAN_INDIA | Rajasthan, India | 105739802
RIO_GRANDE_DO_SUL_BRAZIL | Rio Grande do Sul, Brazil | 105031557
RIO_DE_JANEIRO_RIO_DE_JANEIRO_BRAZIL | Rio de Janeiro, Rio de Janeiro, Brazil | 106701406
RIYADH_REGION | Riyadh Region | 90010388
RALEIGH_DURHAM_CHAPEL_HILL_AREA | Raleigh-Durham-Chapel Hill Area | 90000664
GREATER_PARIS_METROPOLITAN_REGION | Greater Paris Metropolitan Region | 90009659
ROTTERDAM_AND_THE_HAGUE | Rotterdam and The Hague | 90010386
RIYADH_SAUDI_ARABIA | Riyadh, Saudi Arabia | 101336206
ROME_LATIUM_ITALY | Rome, Latium, Italy | 102334534
GREATER_RIO_DE_JANEIRO | Greater Rio de Janeiro | 90009575
THE_RANDSTAD_NETHERLANDS | The Randstad, Netherlands | 90009706
TEXAS_UNITED_STATES | Texas, United States | 102748797
TAMIL_NADU_INDIA | Tamil Nadu, India | 101436253
THAILAND | Thailand | 105146118
TELANGANA_INDIA | Telangana, India | 102767464
TAIWAN | Taiwan | 104187078
TUNISIA | Tunisia | 102134353
TENNESSEE_UNITED_STATES | Tennessee, United States | 104629187
TORONTO_ONTARIO_CANADA | Toronto, Ontario, Canada | 100025096
TANZANIA | Tanzania | 104604145
TAIPEI_CITY_TAIPEI_CITY_TAIWAN | Taipei City, Taipei City, Taiwan | 101193466
TAIPEIKEELUNG_METROPOLITAN_AREA | Taipei?Keelung Metropolitan area | 90010287
SAO_PAULO_BRAZIL | S�o Paulo, Brazil | 105871508
TEHRAN_PROVINCE_IRAN | Tehran Province, Iran | 103186832
TOKYO_JAPAN | Tokyo, Japan | 103925994
